TIPO_DE_MASA,LUGAR,LAT,LONG,FECHA,INDICE_INORGANICO,INDICE_CONTAMINACIÓN_BIOLOGICA,OXÍGENO
riachuelo,desembocadura,-34.637968,-58.356041,2025-01-08,-0.3726497395007819,-0.2673559153231718,2.7
riachuelo,puente la noria,-34.705115,-58.46104,2025-01-08,0.984582051323535,-0.23447314165383104,1.2999999999999998
riachuelo,puente alsina,-34.659538,-58.416509,2025-01-08,2.011929071302292,-0.16057754558091497,3.9
riachuelo,desembocadura,-34.637968,-58.356041,2025-02-18,-1.1521357023506529,-0.27206294337831416,3.0
riachuelo,puente alsina,-34.659538,-58.416509,2025-02-18,0.8383175515527093,-0.20065445600906173,1.5
riachuelo,puente la noria,-34.705115,-58.46104,2025-02-18,0.8764735080146637,-0.1777277334416567,1.5
río de la plata,"reserva ecológica, costanera sur",-34.6059,-58.344011,2025-03-05,-1.5085738212067095,-0.3250691000641442,6.4
río de la plata,"club de pescadores, costanera norte",-34.560652,-58.398363,2025-03-05,-1.6772249899616087,-0.3300893780454564,5.7
río de la plata,"parque de los niños, costanera norte",-34.528196,-58.453765,2025-03-05,-1.6788148214808567,-0.3307292466958534,5.9
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-03-11,-0.20301155475795585,0.16717768748984668,7.1
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-03-11,-0.005235459883807095,3.192667794568134,0.2999999999999998
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-03-12,0.2612087100656469,-0.2428030331603636,6.4
arroyos,ingreso arroyo maldonado,-34.634576,-58.529663,2025-03-12,-1.1495930257995404,0.4968825297293091,2.8
lagos,lago soldati,-34.661886,-58.459898,2025-03-18,-1.0181107975186687,-0.26094257086697087,7.4
lagos,lago lugano,-34.679461,-58.447579,2025-03-18,0.5697992234704419,-0.2728335787697521,8.4
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-03-19,-1.3472059220030266,-0.11741197578529787,7.1
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-03-19,-0.5456202471559226,0.08921706704981346,7.1
riachuelo,desembocadura,-34.637968,-58.356041,2025-03-26,-0.5557962227587949,-0.2673559153231718,0.8999999999999999
riachuelo,puente alsina,-34.659538,-58.416509,2025-03-26,1.9203558296732854,-0.16057754558091497,1.7999999999999998
riachuelo,puente la noria,-34.705115,-58.46104,2025-03-26,0.8930088096945286,-0.23447314165383104,0.2999999999999998
riachuelo,puente alsina,-34.659538,-58.416509,2025-04-22,1.4624896215282532,-0.16057754558091497,2.1
riachuelo,puente la noria,-34.705115,-58.46104,2025-04-22,1.3858618500598634,-0.18583793028517265,1.5
riachuelo,desembocadura,-34.637968,-58.356041,2025-04-22,-0.31843226917568385,-0.29124048847401557,0.2999999999999998
arroyos,desembocadura arroyo cilz,-34.675416,-58.441243,2025-04-23,-0.9212942735151968,-0.07103638754955525,0.39999999999999947
arroyos,ingreso arroyo cildañez,-34.670757,-58.504407,2025-04-23,-1.3575398268781393,-0.004308958543008015,6.0
arroyos,ingreso arroyo medrano,-34.558488,-58.503429,2025-05-13,-0.05801575856347542,6.428745093107777,0.7000000000000002
arroyos,desembocadura arroyo medrano,-34.537103,-58.458516,2025-05-13,0.051998474809124715,-0.14870309970218515,0.19999999999999973
riachuelo,puente alsina,-34.659538,-58.416509,2025-05-14,1.828782588044279,-0.16057754558091497,2.5
riachuelo,puente la noria,-34.705115,-58.46104,2025-05-14,0.984582051323535,-0.23447314165383104,0.6000000000000001
riachuelo,desembocadura,-34.637968,-58.356041,2025-05-14,-0.09793001461376245,-0.2673559153231718,0.19999999999999973
arroyos,ingreso arroyo maldonado,-34.568729,-58.42083,2025-05-20,-1.2551562578580877,0.4968825297293091,3.9
arroyos,desembocadura arroyo maldonado,-34.568729,-58.42083,2025-05-20,-0.28950207798394817,-0.2428030331603636,1.1
riachuelo,puente la noria,-34.705115,-58.46104,2025-06-03,1.0399050265543157,-0.15192610298852927,1.4
riachuelo,puente alsina,-34.659538,-58.416509,2025-06-03,1.2500786456395465,-0.2486881167139134,0.8999999999999999
riachuelo,desembocadura,-34.637968,-58.356041,2025-06-03,-0.716527135475094,-0.27051174665007904,2.2
